year,gdp,cons,inv,exp,imp,gov,res
1929.0,1109.4,830.8,120.4,43.5,58.0,180.4,-20.9
1930.0,1015.1,786.3,82.0,36.0,50.5,198.7,-31.5
1931.0,950.0,761.8,53.3,29.9,44.0,206.8,-44.0
1932.0,827.5,693.6,19.7,23.4,36.5,200.2,-42.0
1933.0,817.3,678.3,26.6,23.6,38.1,193.8,-51.1
1934.0,905.6,726.7,44.0,26.2,38.9,217.8,-62.6
1935.0,986.2,770.8,76.5,27.6,50.9,224.6,-72.1
1936.0,1113.3,849.2,96.8,29.0,50.4,259.9,-81.3
1937.0,1170.3,880.6,119.2,36.5,56.7,249.7,-75.8
1938.0,1131.6,866.6,82.0,36.1,44.0,268.7,-73.8
1939.0,1222.4,915.0,103.1,38.1,46.3,292.4,-82.0
1940.0,1330.2,962.4,140.4,43.4,47.4,302.9,-92.5
1941.0,1565.8,1030.5,171.9,44.5,58.3,509.8,-166.7
1942.0,1861.5,1006.0,95.7,29.4,52.9,1184.0,-414.0
1943.0,2178.4,1034.1,59.7,24.8,66.7,1775.0,-643.7
1944.0,2351.6,1063.5,71.3,26.6,69.8,1992.3,-726.7
1945.0,2328.6,1129.2,91.7,37.3,74.2,1749.6,-594.5
1946.0,2058.4,1268.8,220.3,80.5,61.5,616.0,-98.6
1947.0,2034.8,1293.1,212.1,91.8,58.4,522.6,-21.7
1948.0,2118.5,1322.3,267.3,72.3,68.1,551.8,-52.0
1949.0,2106.6,1359.1,206.7,71.6,65.7,611.1,-63.0
1950.0,2289.5,1446.4,287.9,62.7,77.7,613.5,-68.2
1951.0,2473.8,1469.0,288.6,76.9,80.7,838.9,-153.5
1952.0,2574.9,1515.4,265.0,73.5,87.9,1004.6,-209.7
1953.0,2695.6,1587.2,279.9,68.6,96.1,1073.2,-225.9
1954.0,2680.0,1620.4,268.9,71.9,91.4,1004.2,-185.7
1955.0,2871.2,1740.0,331.1,79.6,102.4,971.6,-169.3
1956.0,2932.4,1790.8,330.2,92.7,110.7,973.9,-159.9
1957.0,2994.1,1835.2,317.8,100.8,115.3,1018.7,-166.9
1958.0,2972.0,1851.1,294.8,87.2,120.8,1052.9,-192.2
1959.0,3178.2,1956.7,351.4,96.2,133.5,1079.6,-190.2
1960.0,3260.0,2010.4,352.7,112.9,135.3,1086.4,-182.4
1961.0,3343.5,2051.6,353.8,113.5,134.4,1145.2,-199.9
1962.0,3548.4,2153.1,395.9,119.2,149.7,1220.1,-218.6
1963.0,3702.9,2241.9,422.8,127.7,153.7,1249.7,-211.6
1964.0,3916.3,2375.3,456.1,142.8,161.9,1280.3,-198.7
1965.0,4170.8,2526.0,519.2,146.8,179.1,1321.3,-206.0
1966.0,4445.9,2669.3,565.9,156.9,205.7,1436.4,-237.8
1967.0,4567.8,2749.1,546.1,160.5,220.7,1550.4,-261.4
1968.0,4792.3,2907.5,578.7,173.2,253.6,1603.2,-256.4
1969.0,4942.1,3015.9,610.9,181.6,268.0,1604.8,-242.3
1970.0,4951.3,3086.9,573.8,201.0,279.4,1571.0,-209.2
1971.0,5114.3,3204.8,632.9,204.5,294.4,1541.5,-207.2
1972.0,5383.3,3401.0,704.2,220.4,327.5,1533.6,-181.7
1973.0,5687.2,3569.4,781.3,261.9,342.7,1528.7,-161.7
1974.0,5656.5,3539.5,729.5,282.7,334.9,1562.3,-160.2
1975.0,5644.8,3619.7,611.4,280.8,297.7,1596.7,-149.5
1976.0,5949.0,3821.5,728.0,293.1,355.9,1605.0,-187.0
1977.0,6224.1,3983.0,831.9,300.2,394.8,1624.3,-176.2
1978.0,6568.6,4157.3,928.1,331.8,429.0,1670.9,-149.4
1979.0,6776.6,4256.1,960.7,364.7,436.2,1701.0,-105.9
1980.0,6759.2,4242.8,864.0,404.0,407.1,1731.8,-64.1
1981.0,6930.7,4301.6,940.1,408.9,417.8,1748.5,-101.0
1982.0,6805.8,4364.6,822.0,377.6,412.5,1780.0,-100.4
1983.0,7117.7,4611.7,898.7,367.8,464.5,1846.4,-132.3
1984.0,7632.8,4854.3,1144.0,397.8,577.6,1911.3,-197.5
1985.0,7951.1,5105.6,1143.2,411.1,615.1,2038.8,-165.0
1986.0,8226.4,5316.4,1145.0,442.6,667.5,2149.5,-170.3
1987.0,8511.0,5496.9,1177.6,491.0,707.2,2211.9,-201.8
1988.0,8866.5,5726.5,1206.6,570.6,735.0,2239.4,-169.6
1989.0,9192.1,5893.5,1255.4,636.6,767.3,2303.0,-168.1
1990.0,9365.5,6012.2,1223.0,692.8,794.8,2376.7,-165.5
1991.0,9355.4,6023.0,1142.1,738.6,793.6,2405.2,-157.8
1992.0,9684.9,6244.7,1225.3,789.8,849.2,2416.4,-164.9
1993.0,9951.5,6462.2,1323.3,815.7,922.6,2396.6,-151.9
1994.0,10352.4,6712.6,1479.8,887.7,1032.7,2398.6,-182.1
1995.0,10630.3,6910.7,1527.3,979.0,1115.3,2410.8,-122.7
1996.0,11031.4,7150.5,1660.8,1059.0,1212.3,2433.1,-99.5
1997.0,11521.9,7419.7,1850.2,1185.2,1375.6,2473.0,-126.0
1998.0,12038.3,7813.8,2026.3,1212.8,1536.4,2533.0,-103.1
1999.0,12610.5,8225.4,2198.7,1273.3,1710.0,2615.4,-79.7
2000.0,13131.0,8643.4,2346.7,1379.5,1930.3,2663.0,-50.0
2001.0,13262.1,8861.1,2214.6,1299.7,1876.2,2762.3,53.8
2002.0,13493.1,9088.7,2195.5,1277.1,1944.4,2885.2,-86.1
2003.0,13879.1,9377.5,2290.4,1305.0,2040.1,2947.2,-47.5
2004.0,14406.4,9729.3,2502.6,1431.2,2272.6,2992.7,-5.9
2005.0,14912.5,10075.9,2670.6,1533.2,2421.0,3015.5,35.1
2006.0,15338.3,10384.5,2752.4,1676.4,2581.5,3063.5,31.8
2007.0,15626.0,10615.3,2684.1,1822.3,2646.0,3118.6,25.7
2008.0,15604.7,10592.8,2462.9,1925.4,2587.1,3195.6,-2.4
2009.0,15208.8,10460.0,1942.0,1763.8,2248.6,3307.3,-15.5
2010.0,15598.8,10643.0,2216.5,1977.9,2543.8,3307.2,-11.3
2011.0,15840.7,10843.8,2362.1,2119.0,2687.1,3203.3,-3.7
2012.0,16197.0,11006.8,2621.8,2191.3,2759.9,3137.0,0.0
2013.0,16495.4,11166.9,2801.5,2269.6,2802.4,3061.0,-0.4
2014.0,16912.0,11497.4,2959.2,2365.3,2942.5,3033.4,0.7
2015.0,17432.2,11934.3,3121.8,2375.2,3094.8,3088.2,11.3
2016.0,17730.5,12264.6,3074.8,2382.3,3145.9,3144.4,22.3
2017.0,18144.1,12587.2,3183.4,2475.5,3292.4,3172.3,20.8
2018.0,18687.8,12928.1,3384.9,2549.5,3427.2,3229.8,1.1
2019.0,19091.7,13240.2,3442.6,2546.6,3464.2,3303.9,-25.0
